GCN,GAT,GraphSAGE,MoNet,MixHop,LINKX,MLP
81.03,83,81.46,76.44,79.64,59.36,59.1
72.28,69.9,73.38,64.4,69.64,42.5,54.62
79.44,79.04,78.4,76.18,76.61,56.49,73.7
61.08,67.02,66.48,55.13,77.84,76.57,78.92
52.97,48.64,47.02,51.89,66.48,65.46,68.64
56.46,54.89,52.54,36.86,76.9,78.62,78.82
29.36,30.15,29.26,26.35,34.77,33.56,37.11
32.4,29.14,31.64,27.14,33.37,62.43,34.87
45.92,46.18,48.72,32.54,48.72,67.08,49.16
49.6,34.91,43.39,40.19,40.63,52.73,36.49
55.46,36.34,43.33,43.48,43.27,53.43,31.32
88.79,66.29,85,73.92,91.62,93.47,83.92
71.17,53.03,63.02,53.65,86.84,90.54,64.69
84.15,49.86,80.31,63.23,90.04,90.88,84.42
62.4,59.57,61.68,58.02,64.22,66.21,59.66
